SPN,Description,Category,Unit,Min,Max,Priority,OEM,Notes
135,Standard J1939 Parameter 135,Engine,,,,3,Standard,SAE J1939 SPN 135
136,Standard J1939 Parameter 136,Fuel,,,,3,Standard,SAE J1939 SPN 136
137,Standard J1939 Parameter 137,Transmission,,,,3,Standard,SAE J1939 SPN 137
138,Standard J1939 Parameter 138,Engine,,,,3,Standard,SAE J1939 SPN 138
139,Standard J1939 Parameter 139,Fuel,,,,3,Standard,SAE J1939 SPN 139
140,Standard J1939 Parameter 140,Transmission,,,,3,Standard,SAE J1939 SPN 140
141,Standard J1939 Parameter 141,Engine,,,,3,Standard,SAE J1939 SPN 141
142,Standard J1939 Parameter 142,Fuel,,,,3,Standard,SAE J1939 SPN 142
143,Standard J1939 Parameter 143,Transmission,,,,3,Standard,SAE J1939 SPN 143
144,Standard J1939 Parameter 144,Engine,,,,3,Standard,SAE J1939 SPN 144
145,Standard J1939 Parameter 145,Fuel,,,,3,Standard,SAE J1939 SPN 145
146,Standard J1939 Parameter 146,Transmission,,,,3,Standard,SAE J1939 SPN 146
147,Standard J1939 Parameter 147,Engine,,,,3,Standard,SAE J1939 SPN 147
148,Standard J1939 Parameter 148,Fuel,,,,3,Standard,SAE J1939 SPN 148
149,Standard J1939 Parameter 149,Transmission,,,,3,Standard,SAE J1939 SPN 149
150,Standard J1939 Parameter 150,Engine,,,,3,Standard,SAE J1939 SPN 150
151,Standard J1939 Parameter 151,Fuel,,,,3,Standard,SAE J1939 SPN 151
152,Standard J1939 Parameter 152,Transmission,,,,3,Standard,SAE J1939 SPN 152
153,Standard J1939 Parameter 153,Engine,,,,3,Standard,SAE J1939 SPN 153
154,Standard J1939 Parameter 154,Fuel,,,,3,Standard,SAE J1939 SPN 154
155,Standard J1939 Parameter 155,Transmission,,,,3,Standard,SAE J1939 SPN 155
156,Standard J1939 Parameter 156,Engine,,,,3,Standard,SAE J1939 SPN 156
157,Standard J1939 Parameter 157,Fuel,,,,3,Standard,SAE J1939 SPN 157
158,Battery Potential,Electrical,V,0,3212.75,2,Standard,Battery voltage
159,Standard J1939 Parameter 159,Engine,,,,3,Standard,SAE J1939 SPN 159
160,Standard J1939 Parameter 160,Fuel,,,,3,Standard,SAE J1939 SPN 160
161,Transmission Current Range,Transmission,,0,255,2,Standard,Current gear
162,Transmission Selected Range,Transmission,,0,255,2,Standard,Selected gear
163,Transmission Actual Gear Ratio,Transmission,,0,64.255,2,Standard,Gear ratio
164,Standard J1939 Parameter 164,Transmission,,,,3,Standard,SAE J1939 SPN 164
165,Standard J1939 Parameter 165,Engine,,,,3,Standard,SAE J1939 SPN 165
166,Standard J1939 Parameter 166,Fuel,,,,3,Standard,SAE J1939 SPN 166
167,Standard J1939 Parameter 167,Transmission,,,,3,Standard,SAE J1939 SPN 167
168,Standard J1939 Parameter 168,Engine,,,,3,Standard,SAE J1939 SPN 168
169,Standard J1939 Parameter 169,Fuel,,,,3,Standard,SAE J1939 SPN 169
170,Standard J1939 Parameter 170,Transmission,,,,3,Standard,SAE J1939 SPN 170
171,Ambient Air Temperature,Environment,°C,-40,210,3,Standard,Outside temperature
172,Air Inlet Temperature,Engine,°C,-273,1735,2,Standard,Intake air temp
173,Standard J1939 Parameter 173,Transmission,,,,3,Standard,SAE J1939 SPN 173
174,Standard J1939 Parameter 174,Engine,,,,3,Standard,SAE J1939 SPN 174
175,Engine Oil Temperature,Engine,°C,-273,1735,2,Standard,Oil temperature
176,Standard J1939 Parameter 176,Transmission,,,,3,Standard,SAE J1939 SPN 176
177,Transmission Oil Temperature,Transmission,°C,-273,1735,2,Standard,ATF temperature
178,Standard J1939 Parameter 178,Fuel,,,,3,Standard,SAE J1939 SPN 178
179,Standard J1939 Parameter 179,Transmission,,,,3,Standard,SAE J1939 SPN 179
180,Standard J1939 Parameter 180,Engine,,,,3,Standard,SAE J1939 SPN 180
181,Standard J1939 Parameter 181,Fuel,,,,3,Standard,SAE J1939 SPN 181
182,Standard J1939 Parameter 182,Transmission,,,,3,Standard,SAE J1939 SPN 182
183,Engine Fuel Rate,Fuel,L/h,0,3212.75,1,Standard,Instantaneous fuel consumption
184,Engine Instantaneous Fuel Economy,Fuel,km/L,0,125.5,2,Standard,Current MPG
185,Engine Average Fuel Economy,Fuel,km/L,0,125.5,2,Standard,Average MPG
186,Standard J1939 Parameter 186,Engine,,,,3,Standard,SAE J1939 SPN 186
187,Standard J1939 Parameter 187,Fuel,,,,3,Standard,SAE J1939 SPN 187
188,Standard J1939 Parameter 188,Transmission,,,,3,Standard,SAE J1939 SPN 188
189,Standard J1939 Parameter 189,Engine,,,,3,Standard,SAE J1939 SPN 189
190,Engine Speed,Engine,RPM,0,8031.875,1,Standard,Engine RPM (duplicate of SPN 0)
191,Transmission Output Shaft Speed,Transmission,RPM,0,8031.875,2,Standard,Output shaft RPM
192,Standard J1939 Parameter 192,Engine,,,,3,Standard,SAE J1939 SPN 192
193,Standard J1939 Parameter 193,Fuel,,,,3,Standard,SAE J1939 SPN 193
194,Standard J1939 Parameter 194,Transmission,,,,3,Standard,SAE J1939 SPN 194
195,Standard J1939 Parameter 195,Engine,,,,3,Standard,SAE J1939 SPN 195
196,Standard J1939 Parameter 196,Fuel,,,,3,Standard,SAE J1939 SPN 196
197,Standard J1939 Parameter 197,Transmission,,,,3,Standard,SAE J1939 SPN 197
198,Standard J1939 Parameter 198,Engine,,,,3,Standard,SAE J1939 SPN 198
199,Standard J1939 Parameter 199,Fuel,,,,3,Standard,SAE J1939 SPN 199
200,Standard J1939 Parameter 200,Transmission,,,,3,Standard,SAE J1939 SPN 200
201,Standard J1939 Parameter 201,Engine,,,,3,Standard,SAE J1939 SPN 201
202,Standard J1939 Parameter 202,Fuel,,,,3,Standard,SAE J1939 SPN 202
203,Standard J1939 Parameter 203,Transmission,,,,3,Standard,SAE J1939 SPN 203
204,Standard J1939 Parameter 204,Engine,,,,3,Standard,SAE J1939 SPN 204
205,Standard J1939 Parameter 205,Fuel,,,,3,Standard,SAE J1939 SPN 205
206,Standard J1939 Parameter 206,Transmission,,,,3,Standard,SAE J1939 SPN 206
207,Standard J1939 Parameter 207,Engine,,,,3,Standard,SAE J1939 SPN 207
208,Standard J1939 Parameter 208,Fuel,,,,3,Standard,SAE J1939 SPN 208
209,Standard J1939 Parameter 209,Transmission,,,,3,Standard,SAE J1939 SPN 209
210,Standard J1939 Parameter 210,Engine,,,,3,Standard,SAE J1939 SPN 210
211,Standard J1939 Parameter 211,Fuel,,,,3,Standard,SAE J1939 SPN 211
212,Standard J1939 Parameter 212,Transmission,,,,3,Standard,SAE J1939 SPN 212
213,Standard J1939 Parameter 213,Engine,,,,3,Standard,SAE J1939 SPN 213
214,Standard J1939 Parameter 214,Fuel,,,,3,Standard,SAE J1939 SPN 214
215,Standard J1939 Parameter 215,Transmission,,,,3,Standard,SAE J1939 SPN 215
216,Standard J1939 Parameter 216,Engine,,,,3,Standard,SAE J1939 SPN 216
217,Standard J1939 Parameter 217,Fuel,,,,3,Standard,SAE J1939 SPN 217
218,Standard J1939 Parameter 218,Transmission,,,,3,Standard,SAE J1939 SPN 218
219,Standard J1939 Parameter 219,Engine,,,,3,Standard,SAE J1939 SPN 219
220,Standard J1939 Parameter 220,Fuel,,,,3,Standard,SAE J1939 SPN 220
221,Standard J1939 Parameter 221,Transmission,,,,3,Standard,SAE J1939 SPN 221
222,Standard J1939 Parameter 222,Engine,,,,3,Standard,SAE J1939 SPN 222
223,Standard J1939 Parameter 223,Fuel,,,,3,Standard,SAE J1939 SPN 223
224,Standard J1939 Parameter 224,Transmission,,,,3,Standard,SAE J1939 SPN 224
225,Standard J1939 Parameter 225,Engine,,,,3,Standard,SAE J1939 SPN 225
226,Standard J1939 Parameter 226,Fuel,,,,3,Standard,SAE J1939 SPN 226
227,Standard J1939 Parameter 227,Transmission,,,,3,Standard,SAE J1939 SPN 227
228,Standard J1939 Parameter 228,Engine,,,,3,Standard,SAE J1939 SPN 228
229,Standard J1939 Parameter 229,Fuel,,,,3,Standard,SAE J1939 SPN 229
230,Standard J1939 Parameter 230,Transmission,,,,3,Standard,SAE J1939 SPN 230
231,Standard J1939 Parameter 231,Engine,,,,3,Standard,SAE J1939 SPN 231
232,Standard J1939 Parameter 232,Fuel,,,,3,Standard,SAE J1939 SPN 232
233,Standard J1939 Parameter 233,Transmission,,,,3,Standard,SAE J1939 SPN 233
234,Standard J1939 Parameter 234,Engine,,,,3,Standard,SAE J1939 SPN 234
235,Standard J1939 Parameter 235,Fuel,,,,3,Standard,SAE J1939 SPN 235
236,Standard J1939 Parameter 236,Transmission,,,,3,Standard,SAE J1939 SPN 236
237,Standard J1939 Parameter 237,Engine,,,,3,Standard,SAE J1939 SPN 237
238,Standard J1939 Parameter 238,Fuel,,,,3,Standard,SAE J1939 SPN 238
239,Standard J1939 Parameter 239,Transmission,,,,3,Standard,SAE J1939 SPN 239
240,Standard J1939 Parameter 240,Engine,,,,3,Standard,SAE J1939 SPN 240
241,Standard J1939 Parameter 241,Fuel,,,,3,Standard,SAE J1939 SPN 241
242,Standard J1939 Parameter 242,Transmission,,,,3,Standard,SAE J1939 SPN 242
243,Standard J1939 Parameter 243,Engine,,,,3,Standard,SAE J1939 SPN 243
244,Standard J1939 Parameter 244,Fuel,,,,3,Standard,SAE J1939 SPN 244
245,Total Vehicle Distance,Vehicle,km,0,526385151.875,2,Standard,Odometer
246,Standard J1939 Parameter 246,Engine,,,,3,Standard,SAE J1939 SPN 246
247,Total Engine Hours,Engine,hours,0,210554060.75,2,Standard,Engine hour meter
248,Standard J1939 Parameter 248,Transmission,,,,3,Standard,SAE J1939 SPN 248
249,Total Engine Idle Hours,Engine,hours,0,210554060.75,2,Standard,Idle hours
250,Total Fuel Used,Fuel,L,0,2105540607.5,1,Standard,Lifetime fuel consumption
251,Standard J1939 Parameter 251,Transmission,,,,3,Standard,SAE J1939 SPN 251
252,Standard J1939 Parameter 252,Engine,,,,3,Standard,SAE J1939 SPN 252
253,Standard J1939 Parameter 253,Fuel,,,,3,Standard,SAE J1939 SPN 253
254,Standard J1939 Parameter 254,Transmission,,,,3,Standard,SAE J1939 SPN 254
255,Standard J1939 Parameter 255,Engine,,,,3,Standard,SAE J1939 SPN 255
256,Standard J1939 Parameter 256,Fuel,,,,3,Standard,SAE J1939 SPN 256
257,Standard J1939 Parameter 257,Transmission,,,,3,Standard,SAE J1939 SPN 257
258,Standard J1939 Parameter 258,Engine,,,,3,Standard,SAE J1939 SPN 258
259,Standard J1939 Parameter 259,Fuel,,,,3,Standard,SAE J1939 SPN 259
260,Standard J1939 Parameter 260,Transmission,,,,3,Standard,SAE J1939 SPN 260
261,Standard J1939 Parameter 261,Engine,,,,3,Standard,SAE J1939 SPN 261
262,Standard J1939 Parameter 262,Fuel,,,,3,Standard,SAE J1939 SPN 262
263,Standard J1939 Parameter 263,Transmission,,,,3,Standard,SAE J1939 SPN 263
264,Standard J1939 Parameter 264,Engine,,,,3,Standard,SAE J1939 SPN 264
265,Standard J1939 Parameter 265,Fuel,,,,3,Standard,SAE J1939 SPN 265
266,Standard J1939 Parameter 266,Transmission,,,,3,Standard,SAE J1939 SPN 266
267,Standard J1939 Parameter 267,Engine,,,,3,Standard,SAE J1939 SPN 267
268,Standard J1939 Parameter 268,Fuel,,,,3,Standard,SAE J1939 SPN 268
269,Standard J1939 Parameter 269,Transmission,,,,3,Standard,SAE J1939 SPN 269
270,Standard J1939 Parameter 270,Engine,,,,3,Standard,SAE J1939 SPN 270
271,Standard J1939 Parameter 271,Fuel,,,,3,Standard,SAE J1939 SPN 271
272,Standard J1939 Parameter 272,Transmission,,,,3,Standard,SAE J1939 SPN 272
273,Standard J1939 Parameter 273,Engine,,,,3,Standard,SAE J1939 SPN 273
274,Standard J1939 Parameter 274,Fuel,,,,3,Standard,SAE J1939 SPN 274
275,Standard J1939 Parameter 275,Transmission,,,,3,Standard,SAE J1939 SPN 275
276,Standard J1939 Parameter 276,Engine,,,,3,Standard,SAE J1939 SPN 276
277,Standard J1939 Parameter 277,Fuel,,,,3,Standard,SAE J1939 SPN 277
278,Standard J1939 Parameter 278,Transmission,,,,3,Standard,SAE J1939 SPN 278
279,Standard J1939 Parameter 279,Engine,,,,3,Standard,SAE J1939 SPN 279
280,Standard J1939 Parameter 280,Fuel,,,,3,Standard,SAE J1939 SPN 280
281,Standard J1939 Parameter 281,Transmission,,,,3,Standard,SAE J1939 SPN 281
282,Standard J1939 Parameter 282,Engine,,,,3,Standard,SAE J1939 SPN 282
283,Standard J1939 Parameter 283,Fuel,,,,3,Standard,SAE J1939 SPN 283
284,Standard J1939 Parameter 284,Transmission,,,,3,Standard,SAE J1939 SPN 284
285,Standard J1939 Parameter 285,Engine,,,,3,Standard,SAE J1939 SPN 285
286,Standard J1939 Parameter 286,Fuel,,,,3,Standard,SAE J1939 SPN 286
287,Standard J1939 Parameter 287,Transmission,,,,3,Standard,SAE J1939 SPN 287
288,Standard J1939 Parameter 288,Engine,,,,3,Standard,SAE J1939 SPN 288
289,Standard J1939 Parameter 289,Fuel,,,,3,Standard,SAE J1939 SPN 289
290,Standard J1939 Parameter 290,Transmission,,,,3,Standard,SAE J1939 SPN 290
291,Standard J1939 Parameter 291,Engine,,,,3,Standard,SAE J1939 SPN 291
292,Standard J1939 Parameter 292,Fuel,,,,3,Standard,SAE J1939 SPN 292
293,Standard J1939 Parameter 293,Transmission,,,,3,Standard,SAE J1939 SPN 293
294,Standard J1939 Parameter 294,Engine,,,,3,Standard,SAE J1939 SPN 294
295,Standard J1939 Parameter 295,Fuel,,,,3,Standard,SAE J1939 SPN 295
296,Standard J1939 Parameter 296,Transmission,,,,3,Standard,SAE J1939 SPN 296
297,Standard J1939 Parameter 297,Engine,,,,3,Standard,SAE J1939 SPN 297
298,Standard J1939 Parameter 298,Fuel,,,,3,Standard,SAE J1939 SPN 298
299,Standard J1939 Parameter 299,Transmission,,,,3,Standard,SAE J1939 SPN 299
300,Standard J1939 Parameter 300,Engine,,,,3,Standard,SAE J1939 SPN 300
301,Standard J1939 Parameter 301,Fuel,,,,3,Standard,SAE J1939 SPN 301
302,Standard J1939 Parameter 302,Transmission,,,,3,Standard,SAE J1939 SPN 302
303,Standard J1939 Parameter 303,Engine,,,,3,Standard,SAE J1939 SPN 303
304,Standard J1939 Parameter 304,Fuel,,,,3,Standard,SAE J1939 SPN 304
305,Standard J1939 Parameter 305,Transmission,,,,3,Standard,SAE J1939 SPN 305
306,Standard J1939 Parameter 306,Engine,,,,3,Standard,SAE J1939 SPN 306
307,Standard J1939 Parameter 307,Fuel,,,,3,Standard,SAE J1939 SPN 307
308,Standard J1939 Parameter 308,Transmission,,,,3,Standard,SAE J1939 SPN 308
309,Standard J1939 Parameter 309,Engine,,,,3,Standard,SAE J1939 SPN 309
310,Standard J1939 Parameter 310,Fuel,,,,3,Standard,SAE J1939 SPN 310
311,Standard J1939 Parameter 311,Transmission,,,,3,Standard,SAE J1939 SPN 311
312,Standard J1939 Parameter 312,Engine,,,,3,Standard,SAE J1939 SPN 312
313,Standard J1939 Parameter 313,Fuel,,,,3,Standard,SAE J1939 SPN 313
314,Standard J1939 Parameter 314,Transmission,,,,3,Standard,SAE J1939 SPN 314
315,Standard J1939 Parameter 315,Engine,,,,3,Standard,SAE J1939 SPN 315
316,Standard J1939 Parameter 316,Fuel,,,,3,Standard,SAE J1939 SPN 316
317,Standard J1939 Parameter 317,Transmission,,,,3,Standard,SAE J1939 SPN 317
318,Standard J1939 Parameter 318,Engine,,,,3,Standard,SAE J1939 SPN 318
319,Standard J1939 Parameter 319,Fuel,,,,3,Standard,SAE J1939 SPN 319
320,Standard J1939 Parameter 320,Transmission,,,,3,Standard,SAE J1939 SPN 320
321,Standard J1939 Parameter 321,Engine,,,,3,Standard,SAE J1939 SPN 321
322,Standard J1939 Parameter 322,Fuel,,,,3,Standard,SAE J1939 SPN 322
323,Standard J1939 Parameter 323,Transmission,,,,3,Standard,SAE J1939 SPN 323
324,Standard J1939 Parameter 324,Engine,,,,3,Standard,SAE J1939 SPN 324
325,Standard J1939 Parameter 325,Fuel,,,,3,Standard,SAE J1939 SPN 325
326,Standard J1939 Parameter 326,Transmission,,,,3,Standard,SAE J1939 SPN 326
