SPN,Description,Category,Unit,Min,Max,Priority,OEM,Detailed_Explanation
599,Brake Secondary Pressure,Brakes,kPa,0,1600,2,Standard,PRESIÓN CIRCUITO SECUNDARIO FRENO - Backup system. Si primary o secondary <400kPa: STOP SAFELY.
80206,Volvo Proprietary Code 80206,Unknown,,,,1,Volvo,CÓDIGO PROPIETARIO VOLVO - Sin documentación pública. Contact Volvo dealer con VCADS para diagnosis. Posible powertrain.
84037,Volvo Proprietary Code 84037,Unknown,,,,1,Volvo,CÓDIGO PROPIETARIO VOLVO - Sin documentación pública. Usar Volvo VCADS tool en dealer para interpretar.
85000,Paccar MX-13 Engine Control,Engine,,,,1,Paccar,"ECU MOTOR PACCAR MX-13 - Engine computer fault. Usado en Kenworth/Peterbilt. Check power, flash. Use Paccar Davie."
90000,Mack MP7/MP8 Engine Control,Engine,,,,1,Mack,"ECU MOTOR MACK - MP7 o MP8 engine controller. Check wiring, reflash. Use Mack Premium Tech Tool."
100000,International N13 Engine,Engine,,,,1,International,"ECU MOTOR INTERNATIONAL N13 - Navistar engine computer. Check communication, flash. Use Diamond Logic."
520190,ICU Display Issue,Electrical,,,,1,Freightliner,"FALLA DISPLAY CLUSTER - Pantalla dashboard no funciona. Causa: ICU module fault, wiring. Acción: reset ECU, verificar voltage."
520191,ICU Backlighting,Electrical,,,,2,Freightliner,"LUZ FONDO CLUSTER - Backlight dim/out. Causa: LED failure, voltage issue. No crítico pero unsafe noche."
520192,ICU Communication Error,Electrical,,,,1,Freightliner,"ERROR CAN ICU - Cluster no comunica con ECU. Resultado: gauges inoperantes. Check CAN wiring, termination."
520193,ICU Gauge Motor Fault,Electrical,,,,2,Freightliner,MOTOR AGUJA CLUSTER - Stepper motor speedometer/tach stuck. Reemplazo ICU o recalibration.
520194,ICU Warning Light Fault,Electrical,,,,1,Freightliner,LUZ WARNING STUCK - MIL/check engine light stuck on/off. Crítico: puede ocultar faults reales.
520195,ICU Memory Error,Electrical,,,,1,Freightliner,ERROR MEMORIA ICU - EEPROM corruption. Perdida settings. Flash ICU module o reemplazo.
520196,sSAM Module Fault,Electrical,,,,1,Freightliner,"FALLA MÓDULO sSAM - Signal Acquisition Module. Controla switches, inputs. Múltiples electrical gremlins."
520197,sSAM Switch Bus Problem,Electrical,,,,1,Freightliner,"BUS SWITCHES sSAM - Hazard lights, turn signals no funcionan. Check sSAM power, CAN communication."
520198,sSAM Communication Error,Electrical,,,,1,Freightliner,"ERROR COMUNICACIÓN sSAM - Module offline on CAN. Verificar wiring harness, ground connections."
520199,Transmission Communication Error,Transmission,,,,1,Freightliner,"ERROR CAN TRANSMISIÓN - TCM no comunica con ECU. Resultado: limp mode, no shifts. Check CAN wiring J1939."
520200,Transmission Shift Control,Transmission,,,,2,Freightliner,"CONTROL CAMBIOS - Solenoid shift fault. Síntomas: harsh shifts, wrong gear. Check ATF level/quality."
520201,Transmission Control Module Fault,Transmission,,,,1,Freightliner,"FALLA TCM - Transmission computer dead. Resultado: no movement, limp mode. Verificar power, reflash, replace."
520202,Transmission Temp Sensor,Transmission,,,,2,Freightliner,SENSOR TEMPERATURA ATF - Reading erratic/fault. Puede trigger false overheat warnings. Verificar wiring.
520211,ABS Module Communication,Safety,,,,1,Freightliner,"ERROR CAN ABS - ABS computer offline. Resultado: ABS disabled, warning light. Frenos funcionan (sin ABS)."
520212,ABS Wheel Speed Sensor,Safety,,,,2,Freightliner,"SENSOR VELOCIDAD RUEDA - WSS fault specific wheel. ABS disabled esa wheel. Check sensor gap, wiring, tone ring."
520213,ABS System Fault,Safety,,,,1,Freightliner,"FALLA SISTEMA ABS - ABS completamente disabled. Solo service brakes. Check valve body, ECU, hydraulics."
520217,Electronic Stability Control,Safety,,,,1,Freightliner,"FALLA ESC - Roll Stability Control disabled. Mayor riesgo rollover en curvas. Check yaw sensor, ECU."
520272,ESC Function Parameter,Safety,,,,1,Freightliner,"PARÁMETRO ESC - ESC calibration issue o disabled. Verificar configuración ECU, recalibrate yaw sensor."
521000,CPC Common Powertrain Controller,Engine,,,,1,Detroit,"ECU PRINCIPAL DD - Main engine computer fault. Motor puede no arrancar o run in limp mode. Check power, ground, flash."
521001,CPC3 Engine Control Module,Engine,,,,1,Detroit,"CPC3 ECU GHG17 - DD13/DD15/DD16 GHG17 engine computer. Fault: limp mode. Verificar software version, reflash."
521002,CPC3 Communication Error,Engine,,,,1,Detroit,"ERROR CAN CPC3 - ECU no comunica J1939. Check CAN wiring, termination, ECU power. Engine may not start."
521003,CPC3 Powertrain Controller,Engine,,,,1,Detroit,"FALLA CPC3 - ECU hardware fault. Replace module, recalibrate. Backup ECU parameters antes replace."
521010,Engine Protection Active,Engine,,,,1,Detroit,"PROTECCIÓN MOTOR ACTIVA - Derate mode. Causa: overheat, low oil, etc. Chequear coolant, oil. FIX IMMEDIATELY."
521011,Engine Protection Approaching,Engine,,,,1,Detroit,"PROTECCIÓN MOTOR CERCA - Warning de derate próximo. Coolant/oil approaching limit. Monitorear gauges, pull over si empeora."
521020,Engine Oil Pressure Low,Engine,,,,1,Detroit,"PRESIÓN ACEITE BAJA DD - CRITICAL. <170kPa: derate. <100kPa: SHUTDOWN. Check oil level, pump, bearings. STOP ENGINE."
521021,Engine Coolant Temp High,Engine,,,,1,Detroit,"TEMPERATURA REFRIGERANTE ALTA - >100°C: warning. >105°C: derate. >110°C: SHUTDOWN. Check coolant, thermostat, fan."
521030,Turbocharger Boost Pressure,Engine,,,,2,Detroit,"PRESIÓN TURBO DD - Underboost o overboost. Check turbo actuator, wastegate, intake leaks. Pérdida potencia."
521040,SCR System Fault,Emissions,,,,1,Detroit,"FALLA SISTEMA SCR - NOx reduction compromised. DEF dosing issue, SCR catalyst, NOx sensors. DEL/check engine."
521041,SCR Catalyst Efficiency Low,Emissions,,,,1,Detroit,"EFICIENCIA SCR BAJA - NOx conversion <80%. Causa: DEF quality, SCR catalyst degraded. Replace SCR can."
521046,DEF Tank Empty,Emissions,,,,1,Detroit,TANQUE DEF VACÍO - No DEF fluid. Resultado: 5 MPH derate después 50 millas. FILL DEF IMMEDIATELY.
521049,MCM SCR Efficiency Low,Emissions,,,,1,Detroit,"EFICIENCIA SCR GHG17 BAJA - NOx reduction insufficient. Check DEF quality, dosing valve, SCR catalyst. Derate possible."
521050,MCM DEF Quality Poor,Emissions,,,,1,Detroit,"CALIDAD DEF MALA - DEF contaminated o concentration wrong. Drain tank, fill with FRESH DEF 32.5%. Derate risk."
521052,MCM Aftertreatment System,Emissions,,,,1,Detroit,SISTEMA AFTERTREATMENT GHG17 - General fault DPF/DOC/SCR. Check all emission components. Derate likely.
521060,DPF Soot Load Exceeded,Emissions,,,,1,Detroit,"CARGA SOOT DPF EXCEDIDA - >100% load. PARKED REGEN REQUIRED. Cannot defer. Stop safely, initiate regen."
521061,DPF Ash Load High,Emissions,,,,1,Detroit,CENIZA DPF ALTA - DPF service required. Ash removal at dealer. Cannot be regenerated. Schedule PM.
521080,Fuel System Pressure Low,Fuel,,,,1,Detroit,"PRESIÓN RIEL COMBUSTIBLE BAJA - <1000 bar. Pérdida potencia. Check fuel pump, pressure regulator, leaks."
521120,Crankshaft Position Sensor,Engine,,,,1,Detroit,"SENSOR POSICIÓN CIGÜEÑAL - No signal. Engine no start. Check sensor gap (0.5-1.5mm), wiring, reluctor wheel."
521121,Camshaft Position Sensor,Engine,,,,1,Detroit,"SENSOR POSICIÓN ÁRBOL LEVAS - Fault. Engine may not start o run rough. Check sensor, wiring, timing gear."
521133,Engine System Fault DD13,Engine,,,,1,Detroit,"FALLA SISTEMA DD13 - Múltiples faults activos. Scan all DTCs. Common: sensor faults, ECU issues. Diagnose each."
521800,Engine ECU Communication,Engine,,,,1,Detroit,"ERROR COMUNICACIÓN ECU - CAN network failure. Check J1939 wiring, termination, ECU power. Engine may not run."
521860,Engine Multiple CAN Faults,Engine,,,,1,Detroit,"MÚLTIPLES FALLAS CAN - Bus errors widespread. Check ALL CAN wiring, terminators, grounds. Electrical gremlin."
522215,Body Controller Short Circuit,Electrical,,,,1,Freightliner,"CORTO BCM - Body Control Module short circuit. Fuse blow, múltiples electrical faults. Check wiring harness."
523000,ICU Instrument Cluster Unit,Electrical,,,,1,Freightliner,"FALLA GENERAL ICU - Main dashboard controller fault. Todos gauges, warnings affected. Replace ICU module."
523001,ICU Communication Error,Electrical,,,,1,Freightliner,"ERROR CAN CLUSTER - ICU offline on network. Gauges dead. Check CAN high/low wiring, termination resistors."
523002,ICU EEPROM Checksum Error,Electrical,,,,1,Freightliner,"CORRUPCIÓN MEMORIA ICU - CRITICAL. Dashboard EEPROM corrupted. Settings lost, gauges erráticos. REFLASH/REPLACE ICU."
523003,ICU Display Module,Electrical,,,,2,Freightliner,FALLA DISPLAY ICU - LCD/LED screen fault. Display blank o pixelated. Replace display o ICU completo.
523010,Front Radar Blockage,Safety,,,,1,Freightliner,"RADAR FRONTAL BLOQUEADO - ACC/FCW disabled. Causa: dirt, snow, ice. Limpiar radar sensor parrilla frontal."
523011,Front Radar Communication,Safety,,,,1,Freightliner,"ERROR CAN RADAR - Radar sensor offline. ACC disabled. Check radar power, CAN wiring, radar module."
524042,Front Radar Data Error,Safety,,,,1,Freightliner,"DATOS RADAR INVÁLIDOS - Radar sensor fault. ACC/FCW unreliable. Recalibrate radar, check alignment."
600010,Volvo Engine Control Module,Engine,,,,1,Volvo,"ECU MOTOR VOLVO - VED (Volvo Engine Diagnostic) module fault. Check ECU power, J1939, reflash. Use VCADS."
600020,Volvo I-Shift Transmission,Transmission,,,,1,Volvo,"TCM I-SHIFT - Transmission control fault. Check shifter, clutch actuator, TCM communication. VCADS scan."
600030,Volvo AEBS System,Safety,,,,1,Volvo,"SISTEMA FRENADO EMERGENCIA - Automatic Emergency Braking fault. Radar/camera issue. Check sensors, recalibrate."
